No,話者,発話,ペルソナ,score
633,B,こんにちは。私は四国の田舎に住んでいますよ。,"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。
私は四国の田舎に住んでいます。
私は自営業をしています。
私はマイペースです。
","{'私は田舎に住んでいます。': [2, 2, 2], '私の血液型はO型です。': [0, 0, 0], '私のことを大らかと言う人が多いです。': [0, 0, 0], '私の趣味はガーデニングです。': [0, 0, 0], '私は狭い場所が苦手です。': [0, 0, 0], '私は四国の田舎に住んでいます。': [2, 2, 2], '私は自営業をしています。': [0, 0, 0], '私はB型です。': [0, 0, 0]}"
633,A,のんびりしてそうで、いいですね！ 私はじっとしていられないたちなので、田舎はちょっと無理ですが。,"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。
私は田舎が苦手です。
私は個人事業主です。
私はB型です。
","{'私は生まれも育ちも兵庫です。': [0, 0, 0], '私は神戸市に住んでいます。': [0, 0, 0], '私は通訳です。': [0, 0, 0], '私は海外旅行をよくします。': [0, 0, 0], '私はじっとしていることが苦手です。': [2, 1, 0], '私は田舎が苦手です。': [0, 2, 2], '私は個人事業主です。': [0, 0, 0], '私はマイペースです。': [0, 0, 1]}"
633,B,そうなんですね。趣味はありますか？,"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。
私は四国の田舎に住んでいます。
私は自営業をしています。
私はマイペースです。
","{'私は田舎に住んでいます。': [0, 0, 0], '私の血液型はO型です。': [0, 0, 0], '私のことを大らかと言う人が多いです。': [0, 0, 0], '私の趣味はガーデニングです。': [0, 0, 0], '私は狭い場所が苦手です。': [0, 0, 0], '私は四国の田舎に住んでいます。': [0, 0, 0], '私は自営業をしています。': [0, 0, 0], '私はB型です。': [0, 0, 0]}"
633,A,私の趣味は海外旅行です。あなたの趣味はなんですか,"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。
私は田舎が苦手です。
私は個人事業主です。
私はB型です。
","{'私は生まれも育ちも兵庫です。': [0, 0, 0], '私は神戸市に住んでいます。': [0, 0, 0], '私は通訳です。': [0, 0, 0], '私は海外旅行をよくします。': [2, 2, 2], '私はじっとしていることが苦手です。': [0, 0, 0], '私は田舎が苦手です。': [0, 0, 0], '私は個人事業主です。': [0, 0, 0], '私はマイペースです。': [0, 0, 0]}"
633,B,私はガーデニングです。なかなか楽しいですよ。,"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。
私は四国の田舎に住んでいます。
私は自営業をしています。
私はマイペースです。
","{'私は田舎に住んでいます。': [0, 0, 0], '私の血液型はO型です。': [0, 0, 0], '私のことを大らかと言う人が多いです。': [0, 0, 0], '私の趣味はガーデニングです。': [1, 2, 2], '私は狭い場所が苦手です。': [0, 0, 0], '私は四国の田舎に住んでいます。': [0, 0, 0], '私は自営業をしています。': [0, 0, 0], '私はB型です。': [0, 0, 0]}"
633,A,おしゃれですね。お仕事は何をしていますか？,"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。
私は田舎が苦手です。
私は個人事業主です。
私はB型です。
","{'私は生まれも育ちも兵庫です。': [0, 0, 0], '私は神戸市に住んでいます。': [0, 0, 0], '私は通訳です。': [0, 0, 0], '私は海外旅行をよくします。': [0, 0, 0], '私はじっとしていることが苦手です。': [0, 0, 0], '私は田舎が苦手です。': [0, 0, 0], '私は個人事業主です。': [0, 0, 0], '私はマイペースです。': [0, 0, 0]}"
633,B,私は自営業をしていますよ。マイペースなもので今の仕事が合っています。,"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。
私は四国の田舎に住んでいます。
私は自営業をしています。
私はマイペースです。
","{'私は田舎に住んでいます。': [0, 0, 0], '私の血液型はO型です。': [0, 1, 0], '私のことを大らかと言う人が多いです。': [0, 1, 0], '私の趣味はガーデニングです。': [0, 0, 0], '私は狭い場所が苦手です。': [0, 0, 0], '私は四国の田舎に住んでいます。': [0, 0, 0], '私は自営業をしています。': [2, 2, 2], '私はB型です。': [0, 0, 0]}"
633,A,自営業いいですね！私も個人事業主として通訳のお仕事をしていますよ。,"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。
私は田舎が苦手です。
私は個人事業主です。
私はB型です。
","{'私は生まれも育ちも兵庫です。': [0, 0, 0], '私は神戸市に住んでいます。': [0, 0, 0], '私は通訳です。': [2, 2, 2], '私は海外旅行をよくします。': [0, 0, 0], '私はじっとしていることが苦手です。': [0, 0, 0], '私は田舎が苦手です。': [0, 0, 0], '私は個人事業主です。': [2, 2, 2], '私はマイペースです。': [0, 0, 0]}"
633,B,かっこいいですね。ちなみに血液型はなんですか？,"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。
私は四国の田舎に住んでいます。
私は自営業をしています。
私はマイペースです。
","{'私は田舎に住んでいます。': [0, 0, 0], '私の血液型はO型です。': [0, 1, 0], '私のことを大らかと言う人が多いです。': [0, 0, 0], '私の趣味はガーデニングです。': [0, 0, 0], '私は狭い場所が苦手です。': [0, 0, 0], '私は四国の田舎に住んでいます。': [0, 0, 0], '私は自営業をしています。': [0, 0, 0], '私はB型です。': [0, 1, 0]}"
633,A,私はB型です。,"私は生まれも育ちも兵庫です。
私は神戸市に住んでいます。
私は通訳です。
私は海外旅行をよくします。
私はじっとしていることが苦手です。
私は田舎が苦手です。
私は個人事業主です。
私はB型です。
","{'私は生まれも育ちも兵庫です。': [0, 0, 0], '私は神戸市に住んでいます。': [0, 0, 0], '私は通訳です。': [0, 0, 0], '私は海外旅行をよくします。': [0, 0, 0], '私はじっとしていることが苦手です。': [0, 1, 0], '私は田舎が苦手です。': [0, 0, 0], '私は個人事業主です。': [0, 0, 0], '私はマイペースです。': [0, 0, 0]}"
633,B,私は人から大らかと言われるO型です。,"私は田舎に住んでいます。
私の血液型はO型です。
私のことを大らかと言う人が多いです。
私の趣味はガーデニングです。
私は狭い場所が苦手です。
私は四国の田舎に住んでいます。
私は自営業をしています。
私はマイペースです。
","{'私は田舎に住んでいます。': [0, 0, 0], '私の血液型はO型です。': [2, 2, 2], '私のことを大らかと言う人が多いです。': [1, 2, 2], '私の趣味はガーデニングです。': [0, 0, 0], '私は狭い場所が苦手です。': [0, 0, 0], '私は四国の田舎に住んでいます。': [0, 0, 0], '私は自営業をしています。': [0, 0, 0], '私は人と争うのが苦手です。': [0, 0, 0]}"
679,A,はじめまして。お元気ですか？,"私には憧れの芸能人がいます。
私はテレビ業界で働いています。
私は肌の色が濃いです。
私には妹がいます。
私は独身貴族です。
私は憧れの芸能人に近づきたくてテレビ業界で働いています。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私には憧れの芸能人がいます。': [0, 0, 0], '私はテレビ業界で働いています。': [0, 0, 0], '私は肌の色が濃いです。': [0, 0, 0], '私には妹がいます。': [0, 0, 0], '私は独身貴族です。': [0, 0, 0], '私は憧れの芸能人に近づきたくてテレビ業界で働いています。': [0, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,B,元気ですよ。最近はパティシエの仕事を頑張っています。,"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。
私は不安になると占いに頼ります。
私は独身です。
私は一人っ子です。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私は占いを信じるほうです。': [0, 0, 0], '私はパティシエです。': [2, 2, 2], '私はネガティブに考えがちです。': [0, 0, 0], '私はくさやを食べたことがありません。': [0, 0, 0], '私はお線香やマッチの匂いを懐かしく感じます。': [0, 0, 0], '私は不安になると占いに頼ります。': [0, 0, 0], '私は独身です。': [0, 0, 0], '私は一人っ子です。': [0, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,A,パティシエ、良いですね！私は憧れの芸能人に近づきたくて、テレビ業界に入りました。,"私には憧れの芸能人がいます。
私はテレビ業界で働いています。
私は肌の色が濃いです。
私には妹がいます。
私は独身貴族です。
私は憧れの芸能人に近づきたくてテレビ業界で働いています。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私には憧れの芸能人がいます。': [2, 2, 2], '私はテレビ業界で働いています。': [2, 2, 2], '私は肌の色が濃いです。': [0, 0, 0], '私には妹がいます。': [0, 0, 0], '私は独身貴族です。': [0, 0, 0], '私は憧れの芸能人に近づきたくてテレビ業界で働いています。': [2, 2, 2], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,B,おお、すごいですね！憧れの人には会えたのですか？,"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。
私は不安になると占いに頼ります。
私は独身です。
私は一人っ子です。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私は占いを信じるほうです。': [0, 0, 0], '私はパティシエです。': [0, 0, 0], '私はネガティブに考えがちです。': [0, 0, 0], '私はくさやを食べたことがありません。': [0, 0, 0], '私はお線香やマッチの匂いを懐かしく感じます。': [0, 0, 0], '私は不安になると占いに頼ります。': [0, 0, 0], '私は独身です。': [0, 0, 0], '私は一人っ子です。': [0, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,A,いえ、まだなんです。いつか近くでお会いできるように、がんばっているところです。,"私には憧れの芸能人がいます。
私はテレビ業界で働いています。
私は肌の色が濃いです。
私には妹がいます。
私は独身貴族です。
私は憧れの芸能人に近づきたくてテレビ業界で働いています。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私には憧れの芸能人がいます。': [1, 0, 0], '私はテレビ業界で働いています。': [1, 0, 0], '私は肌の色が濃いです。': [0, 0, 0], '私には妹がいます。': [0, 0, 0], '私は独身貴族です。': [0, 0, 0], '私は憧れの芸能人に近づきたくてテレビ業界で働いています。': [1, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 1]}"
679,B,頑張ってください！ところで私はついついネガティブに物事を考えてしまうほうで、不安になると占いなんかにも頼ってしまうんです。,"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。
私は不安になると占いに頼ります。
私は独身です。
私は一人っ子です。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私は占いを信じるほうです。': [2, 2, 1], '私はパティシエです。': [0, 0, 0], '私はネガティブに考えがちです。': [2, 1, 2], '私はくさやを食べたことがありません。': [0, 0, 0], '私はお線香やマッチの匂いを懐かしく感じます。': [0, 0, 0], '私は不安になると占いに頼ります。': [2, 2, 2], '私は独身です。': [0, 0, 0], '私は一人っ子です。': [0, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,A,占いですか！実は私、自分で言うのもあれですが独身貴族で。このままこれでいいのか、いつか占ってください。,"私には憧れの芸能人がいます。
私はテレビ業界で働いています。
私は肌の色が濃いです。
私には妹がいます。
私は独身貴族です。
私は憧れの芸能人に近づきたくてテレビ業界で働いています。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私には憧れの芸能人がいます。': [0, 0, 0], '私はテレビ業界で働いています。': [0, 0, 0], '私は肌の色が濃いです。': [0, 0, 0], '私には妹がいます。': [0, 0, 0], '私は独身貴族です。': [2, 2, 2], '私は憧れの芸能人に近づきたくてテレビ業界で働いています。': [0, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,B,今、タロット占いを勉強中なので、是非占わせてください。因みに私も独身です。,"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。
私は不安になると占いに頼ります。
私は独身です。
私は一人っ子です。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私は占いを信じるほうです。': [1, 1, 1], '私はパティシエです。': [0, 0, 0], '私はネガティブに考えがちです。': [0, 0, 0], '私はくさやを食べたことがありません。': [0, 0, 0], '私はお線香やマッチの匂いを懐かしく感じます。': [0, 0, 0], '私は不安になると占いに頼ります。': [0, 0, 0], '私は独身です。': [2, 2, 2], '私は一人っ子です。': [0, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,A,占い、ぜひよろしくお願いします。お互い、独身同士ですね。妹がいるんですが、もう4人子供いるんですよ。,"私には憧れの芸能人がいます。
私はテレビ業界で働いています。
私は肌の色が濃いです。
私には妹がいます。
私は独身貴族です。
私は憧れの芸能人に近づきたくてテレビ業界で働いています。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私には憧れの芸能人がいます。': [0, 0, 0], '私はテレビ業界で働いています。': [0, 0, 0], '私は肌の色が濃いです。': [0, 0, 0], '私には妹がいます。': [2, 2, 2], '私は独身貴族です。': [0, 1, 2], '私は憧れの芸能人に近づきたくてテレビ業界で働いています。': [0, 0, 0], '私は親に早く孫の顔が見たいとせっつかれています。': [0, 0, 0]}"
679,B,４人も！すごい、にぎやかですね。私は一人っ子なので、早く結婚して孫の顔が見たいとせっつかれてしまいます。,"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。
私は不安になると占いに頼ります。
私は独身です。
私は一人っ子です。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私は占いを信じるほうです。': [0, 0, 0], '私はパティシエです。': [0, 0, 0], '私はネガティブに考えがちです。': [0, 0, 0], '私はくさやを食べたことがありません。': [0, 0, 0], '私はお線香やマッチの匂いを懐かしく感じます。': [0, 0, 0], '私は不安になると占いに頼ります。': [0, 0, 0], '私は独身です。': [1, 2, 2], '私は一人っ子です。': [2, 2, 2], '私は親に早く孫の顔が見たいとせっつかれています。': [2, 2, 2]}"
679,A,私も親にはそういわれていますよ。結婚はちょっと抵抗あるのですが、子供は欲しいなと思ったりしますね。,"私には憧れの芸能人がいます。
私はテレビ業界で働いています。
私は肌の色が濃いです。
私には妹がいます。
私は独身貴族です。
私は憧れの芸能人に近づきたくてテレビ業界で働いています。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私には憧れの芸能人がいます。': [0, 0, 0], '私はテレビ業界で働いています。': [0, 0, 0], '私は肌の色が濃いです。': [0, 0, 0], '私には妹がいます。': [0, 0, 0], '私は独身貴族です。': [0, 0, 2], '私は憧れの芸能人に近づきたくてテレビ業界で働いています。': [0, 0, 0], '私は定期的に歯医者に行くようにしています。': [0, 0, 0]}"
679,B,友達の子供と会ったりすると、いいなぁと思いますよね。,"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。
私は不安になると占いに頼ります。
私は独身です。
私は一人っ子です。
私は親に早く孫の顔が見たいとせっつかれています。
","{'私は占いを信じるほうです。': [0, 0, 0], '私はパティシエです。': [0, 0, 0], '私はネガティブに考えがちです。': [0, 0, 0], '私はくさやを食べたことがありません。': [0, 0, 0], '私はお線香やマッチの匂いを懐かしく感じます。': [0, 0, 0], '私は不安になると占いに頼ります。': [0, 0, 0], '私は独身です。': [1, 0, 1], '私は一人っ子です。': [0, 0, 0], '私はラーメンを大盛で食べます。': [0, 0, 0]}"
702,A,こんにちは。私は青森で生まれました。あなたのご出身はどこですか？,"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。
私は釣りに興味があります。
私は定期的に歯医者に行くようにしています。
","{'私は青森で生まれました。': [2, 2, 2], '私は山のそばに住んでいます。': [0, 0, 0], '私は昭和生まれです。': [0, 0, 0], '私は広告代理店勤務です。': [0, 0, 0], '私の趣味は写真撮影です。': [0, 0, 0], '私は釣りに興味があります。': [0, 0, 0], '私は定期的に歯医者に行くようにしています。': [0, 0, 0]}"
702,B,関東です、定年退職し、妻と熟年離婚したのでさみしく暮らしています。,"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。
","{'私は定年退職しました。': [2, 2, 2], '私は髪の毛が薄いです。': [0, 0, 0], '私は虫歯が1本もないです。': [0, 0, 0], '私は妻と熟年離婚しました。': [2, 2, 2], '私は釣りが趣味です。': [0, 0, 0]}"
702,A,もう引退されたのですね。私は今広告代理店に勤めています。おひとりで普段何をされているのですか？,"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。
私は釣りに興味があります。
私は定期的に歯医者に行くようにしています。
","{'私は青森で生まれました。': [0, 0, 0], '私は山のそばに住んでいます。': [0, 0, 0], '私は昭和生まれです。': [0, 0, 0], '私は広告代理店勤務です。': [2, 2, 2], '私の趣味は写真撮影です。': [0, 0, 0], '私は釣りに興味があります。': [0, 0, 0], '私は定期的に歯医者に行くようにしています。': [0, 0, 0]}"
702,B,趣味の釣りをしています。,"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。
","{'私は定年退職しました。': [0, 0, 0], '私は髪の毛が薄いです。': [0, 0, 0], '私は虫歯が1本もないです。': [0, 0, 0], '私は妻と熟年離婚しました。': [0, 0, 0], '私は釣りが趣味です。': [2, 2, 2]}"
702,A,それはいいご趣味ですね。私も釣りには興味がありますが、今は仕事が忙しく、なかなか実際には行けません。,"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。
私は釣りに興味があります。
私は定期的に歯医者に行くようにしています。
","{'私は青森で生まれました。': [0, 0, 0], '私は山のそばに住んでいます。': [0, 0, 0], '私は昭和生まれです。': [0, 0, 0], '私は広告代理店勤務です。': [0, 0, 2], '私の趣味は写真撮影です。': [0, 0, 0], '私は釣りに興味があります。': [2, 2, 2], '私は定期的に歯医者に行くようにしています。': [0, 0, 0]}"
702,B,結構体力も使うのでいい運動にもなり、いいですよ。,"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。
","{'私は定年退職しました。': [0, 0, 0], '私は髪の毛が薄いです。': [0, 0, 0], '私は虫歯が1本もないです。': [0, 0, 0], '私は妻と熟年離婚しました。': [0, 0, 0], '私は釣りが趣味です。': [0, 0, 2]}"
702,A,そのうち是非挑戦してみたいものです。今は写真を撮ることが一応趣味で、ちょこちょこと身の回りのものや景色を撮ったりしています。,"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。
私は釣りに興味があります。
私は定期的に歯医者に行くようにしています。
","{'私は青森で生まれました。': [0, 0, 0], '私は山のそばに住んでいます。': [0, 0, 0], '私は昭和生まれです。': [0, 0, 1], '私は広告代理店勤務です。': [0, 0, 0], '私の趣味は写真撮影です。': [2, 2, 2], '私は釣りに興味があります。': [1, 0, 0], '私は定期的に歯医者に行くようにしています。': [0, 0, 0]}"
702,B,すてきですね、私も撮って欲しいですが、髪の毛が薄いので恥ずかしいです。,"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。
","{'私は定年退職しました。': [0, 0, 0], '私は髪の毛が薄いです。': [2, 2, 2], '私は虫歯が1本もないです。': [0, 0, 0], '私は妻と熟年離婚しました。': [0, 0, 0], '私は釣りが趣味です。': [0, 0, 0]}"
702,A,そんな事気にされる事ないですよ。私でよければいつでも撮ります。でも、今も青森に住んでいるのでちょっと遠いですね。,"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。
私は釣りに興味があります。
私は定期的に歯医者に行くようにしています。
","{'私は青森で生まれました。': [1, 1, 1], '私は山のそばに住んでいます。': [0, 0, 1], '私は昭和生まれです。': [0, 0, 0], '私は広告代理店勤務です。': [0, 0, 0], '私の趣味は写真撮影です。': [1, 1, 0], '私は釣りに興味があります。': [0, 0, 0], '私は定期的に歯医者に行くようにしています。': [0, 0, 0]}"
702,B,ありがとうございます、虫歯も1本もなく健康なのですが、髪だけが気になってました。,"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。
","{'私は定年退職しました。': [0, 0, 0], '私は髪の毛が薄いです。': [1, 1, 1], '私は虫歯が1本もないです。': [2, 2, 2], '私は妻と熟年離婚しました。': [0, 0, 0], '私は釣りが趣味です。': [0, 0, 0]}"
702,A,虫歯が1本もないなんてすごいですね。羨ましいです。歯は大事ですからね。私も定期的に歯医者さんにみてもらうようにして、気を付けています。,"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。
私は釣りに興味があります。
私は定期的に歯医者に行くようにしています。
","{'私は青森で生まれました。': [0, 0, 0], '私は山のそばに住んでいます。': [0, 0, 0], '私は昭和生まれです。': [0, 0, 0], '私は広告代理店勤務です。': [0, 0, 0], '私の趣味は写真撮影です。': [0, 0, 0], '私は釣りに興味があります。': [0, 0, 0], '私は東京に住んでいます。': [0, 0, 0]}"
702,B,歯は大事ですよね、失わないように気をつけたいです。,"私は定年退職しました。
私は髪の毛が薄いです。
私は虫歯が1本もないです。
私は妻と熟年離婚しました。
私は釣りが趣味です。
","{'私は定年退職しました。': [0, 0, 0], '私は髪の毛が薄いです。': [0, 0, 0], '私は虫歯が1本もないです。': [0, 1, 1], '私は妻と熟年離婚しました。': [0, 0, 0], '私は運動部出身です。': [0, 0, 0]}"
750,A,はじめまして、私は鹿児島から引っ越したばかりでまだここの生活に慣れていません。,"私は鹿児島から引っ越してきました。
私は専業主婦です。
私は手が小さいです。
私は焼肉が大好物です。
私は香水の匂いが苦手です。
私はまだ新生活に慣れていません。
私は東京に住んでいます。
","{'私は鹿児島から引っ越してきました。': [2, 2, 2], '私は専業主婦です。': [0, 0, 0], '私は手が小さいです。': [0, 0, 0], '私は焼肉が大好物です。': [0, 0, 0], '私は香水の匂いが苦手です。': [0, 0, 0], '私はまだ新生活に慣れていません。': [2, 2, 2], '私は東京に住んでいます。': [0, 0, 0]}"
750,B,はじめまして。私は九州に住んでいるのですが、遠くに引っ越されたのですか？,"私は九州に住んでいます。
私は高校中退しています。
私はパーマをかけています。
私はラーメンが好きです。
私は鈍感です。
わつぃはとんこつラーメンが好きです。
私は香水の香りが苦手です。
私はラーメンが好きです。
私はラーメンを大盛で食べます。
","{'私は九州に住んでいます。': [2, 2, 2], '私は高校中退しています。': [0, 0, 0], '私はパーマをかけています。': [0, 0, 0], '私はラーメンが好きです。': [0, 0, 0], '私は鈍感です。': [0, 0, 0], 'わつぃはとんこつラーメンが好きです。': [0, 0, 0], '私は香水の香りが苦手です。': [0, 0, 0], '私はラーメンを大盛で食べます。': [0, 0, 0]}"
750,A,はい、東京に来ました。専業主婦なのでまだ知り合いもできません。,"私は鹿児島から引っ越してきました。
私は専業主婦です。
私は手が小さいです。
私は焼肉が大好物です。
私は香水の匂いが苦手です。
私はまだ新生活に慣れていません。
私は東京に住んでいます。
","{'私は鹿児島から引っ越してきました。': [0, 0, 1], '私は専業主婦です。': [2, 2, 2], '私は手が小さいです。': [0, 0, 0], '私は焼肉が大好物です。': [0, 0, 0], '私は香水の匂いが苦手です。': [0, 0, 0], '私はまだ新生活に慣れていません。': [1, 1, 1], '私は東京に住んでいます。': [2, 2, 2]}"
750,B,東京は憧れですが、九州からは遠いですね。引っ越したばかりだとお寂しいでしょうね。,"私は九州に住んでいます。
私は高校中退しています。
私はパーマをかけています。
私はラーメンが好きです。
私は鈍感です。
わつぃはとんこつラーメンが好きです。
私は香水の香りが苦手です。
私はラーメンが好きです。
私はラーメンを大盛で食べます。
","{'私は九州に住んでいます。': [1, 2, 1], '私は高校中退しています。': [0, 0, 0], '私はパーマをかけています。': [0, 0, 0], '私はラーメンが好きです。': [0, 0, 0], '私は鈍感です。': [0, 0, 0], 'わつぃはとんこつラーメンが好きです。': [0, 0, 0], '私は香水の香りが苦手です。': [0, 0, 0], '私はラーメンを大盛で食べます。': [0, 0, 0]}"
750,A,はい、なので今度、大好きな焼肉を食べにいいお店を探しに行きたいと思います。,"私は鹿児島から引っ越してきました。
私は専業主婦です。
私は手が小さいです。
私は焼肉が大好物です。
私は香水の匂いが苦手です。
私はまだ新生活に慣れていません。
私は東京に住んでいます。
","{'私は鹿児島から引っ越してきました。': [0, 0, 0], '私は専業主婦です。': [0, 0, 0], '私は手が小さいです。': [0, 0, 0], '私は焼肉が大好物です。': [2, 2, 1], '私は香水の匂いが苦手です。': [0, 0, 0], '私はまだ新生活に慣れていません。': [1, 0, 1], '私は東京に住んでいます。': [0, 0, 1]}"
750,B,食べ物で、ストレス発散しましょう！私は大好きな地元のとんこつラーメンで発散していますよ。,"私は九州に住んでいます。
私は高校中退しています。
私はパーマをかけています。
私はラーメンが好きです。
私は鈍感です。
わつぃはとんこつラーメンが好きです。
私は香水の香りが苦手です。
私はラーメンが好きです。
私はラーメンを大盛で食べます。
","{'私は九州に住んでいます。': [0, 2, 1], '私は高校中退しています。': [0, 0, 0], '私はパーマをかけています。': [0, 0, 0], '私はラーメンが好きです。': [1, 2, 1], '私は鈍感です。': [0, 0, 0], 'わつぃはとんこつラーメンが好きです。': [2, 2, 1], '私は香水の香りが苦手です。': [0, 0, 0], '私はラーメンを大盛で食べます。': [0, 0, 0]}"
750,A,とんこつの香りはたまりませんよね、ちなみに香水の香りは苦手です。,"私は鹿児島から引っ越してきました。
私は専業主婦です。
私は手が小さいです。
私は焼肉が大好物です。
私は香水の匂いが苦手です。
私はまだ新生活に慣れていません。
私は東京に住んでいます。
","{'私は鹿児島から引っ越してきました。': [0, 0, 1], '私は専業主婦です。': [0, 0, 1], '私は手が小さいです。': [0, 0, 0], '私は焼肉が大好物です。': [0, 0, 1], '私は香水の匂いが苦手です。': [2, 2, 2], '私はまだ新生活に慣れていません。': [0, 0, 1], '私は東京に住んでいます。': [0, 0, 1]}"
750,B,私も香水の香りは苦手ですね。ラーメンは、たまらないです。,"私は九州に住んでいます。
私は高校中退しています。
私はパーマをかけています。
私はラーメンが好きです。
私は鈍感です。
わつぃはとんこつラーメンが好きです。
私は香水の香りが苦手です。
私はラーメンが好きです。
私はラーメンを大盛で食べます。
","{'私は九州に住んでいます。': [0, 0, 0], '私は高校中退しています。': [0, 0, 0], '私はパーマをかけています。': [0, 0, 0], '私はラーメンが好きです。': [1, 2, 1], '私は鈍感です。': [0, 0, 0], 'わつぃはとんこつラーメンが好きです。': [1, 1, 0], '私は香水の香りが苦手です。': [2, 2, 2], '私はラーメンを大盛で食べます。': [0, 0, 0]}"
